frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2.0,[107.4832763671875 227.2660675048828 949.0166015625 664.0021362304688],[603.1336059570312 526.6988525390625 781.9982299804688 582.0695190429688],0.8751929402351379,<57,0.12956377836938493
1,2.0,[113.11252786632815 226.909330944367 945.0643218326733 657.33938659038],[588.5123901367188 524.8504028320312 769.97509765625 576.820556640625],0.8419169783592224,82SJ?,0.014587419585215049
2,2.0,[114.72641711819091 227.05005025220578 932.4189197100188 651.6070617292719],[572.9783935546875 522.0658569335938 756.4586181640625 575.6091918945312],0.8568012714385986,LSJ;,0.19295355677604675
3,2.0,[116.42286636103341 227.71959876251353 912.9870469060352 644.9938916797734],[556.9581298828125 520.376220703125 740.3695068359375 572.1239013671875],0.8690422773361206,LG,0.13686136672694058
4,2.0,[116.75621259143361 228.5162112200494 899.7561921146904 642.8962942576499],[535.9135131835938 519.4404907226562 725.1915893554688 568.3118286132812],0.8511530756950378,3JJR,0.1618645191192627
5,2.0,[113.75293967092068 227.4153335994986 886.0390969329302 638.9401090985832],[520.7394409179688 516.273681640625 702.5576782226562 563.8417358398438],0.8607410788536072,3FJF,0.6764574945938046
6,2.0,[108.1226130561248 226.1132303020545 872.6284730985484 634.3871404616157],[496.41363525390625 510.5655517578125 689.677734375 560.2918090820312],0.851727306842804,RTBJ,0.5950793052908092
7,2.0,[106.47560126977947 224.28091089459838 861.4998692743306 628.9126420376796],[495.12548828125 507.15814208984375 682.0909423828125 554.6324462890625],0.8715505599975586,RIBJ,0.26168811321258545
8,2.0,[111.24804759099982 221.7658847294676 858.8557729557411 623.3068946251697],[487.71466064453125 503.8492126464844 674.2658081054688 549.832275390625],0.8437750935554504,RIBJJF,0.7044952344758126
9,2.0,[112.9629932586081 218.04479160261224 851.453120379288 616.553017739406],[480.5552978515625 498.56072998046875 668.639892578125 543.437255859375],0.8496111035346985,RIE3JF,0.5907898664571068
